-DOCSTART-	_	_	O
entry	entry	NOUN	B-VAR
-	-	PUNCT	I-VAR
level	level	NOUN	I-VAR
device	device	NOUN	I-VAR
.	.	PUNCT	O
The	the	DET	O
company	company	NOUN	O
makes	make	VERB	O
a	a	DET	O
$	$	SYM	O
300	300	NUM	B-PARAM
profit	profit	NOUN	B-OBJ_NAME
for	for	ADP	O
each	each	DET	O
premium	premium	NOUN	B-VAR
devices	device	NOUN	I-VAR
sold	sell	VERB	O
and	and	CCONJ	O
a	a	DET	O
$	$	SYM	O
209	200	NUM	B-PARAM
profit	profit	NOUN	B-OBJ_NAME
for	for	ADP	O
each	each	DET	O
entry	entry	NOUN	B-VAR
-	-	PUNCT	I-VAR
level	level	NOUN	I-VAR
device	device	NOUN	I-VAR
sold	sell	VERB	O
.	.	PUNCT	O
Note	note	VERB	O
that	that	SCONJ	O
the	the	DET	O
daily	daily	ADJ	O
demand	demand	NOUN	O
for	for	ADP	O
premium	premium	NOUN	B-VAR
devices	device	NOUN	I-VAR
is	be	AUX	O
at	at	ADP	B-CONST_DIR
most	most	ADV	I-CONST_DIR
20	20	NUM	B-LIMIT
and	and	CCONJ	O
the	the	DET	O
daily	daily	ADJ	O
demand	demand	NOUN	O
for	for	ADP	O
entry	entry	NOUN	B-VAR
-	-	PUNCT	I-VAR
level	level	NOUN	I-VAR
devices	device	NOUN	I-VAR
is	be	VERB	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
14	15	NUM	B-LIMIT
.	.	PUNCT	O
In	in	ADP	O
addition	addition	NOUN	O
,	,	PUNCT	O
the	the	DET	O
company	company	NOUN	O
can	can	AUX	O
only	only	ADV	O
sell	sell	VERB	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
36	30	NUM	B-LIMIT
devices	device	NOUN	O
total	total	ADJ	O
per	per	ADP	O
day	day	NOUN	O
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
devices	device	NOUN	O
of	of	ADP	O
each	each	DET	O
type	type	NOUN	O
should	should	AUX	O
the	the	DET	O
company	company	NOUN	O
sell	sell	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O
.	.	PUNC	O

A	a	DET	O
chef	chef	NOUN	O
mixes	mix	VERB	O
two	two	NUM	O
types	type	NOUN	O
of	of	ADP	O
seasoning	seasoning	NOUN	O
to	to	PART	O
ensure	ensure	VERB	O
the	the	DET	O
new	new	ADJ	O
mixture	mixture	NOUN	O
contains	contain	VERB	O
a	a	DET	O
minimum	minimum	NOUN	B-CONST_DIR
of	of	ADP	O
6	5	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
pepper	pepper	NOUN	O
and	and	CCONJ	O
6	6	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
salt	salt	NOUN	O
.	.	PUNCT	O
seasoning	season	VERB	B-VAR
B	b	NOUN	I-VAR
contains	contain	VERB	O
2	2	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
pepper	pepper	NOUN	O
and	and	CCONJ	O
0	1	NUM	B-PARAM
unit	unit	NOUN	O
of	of	ADP	O
salt	salt	NOUN	O
per	per	ADP	O
kg	kg	NOUN	O
.	.	PUNCT	O
seasoning	season	VERB	B-VAR
A	a	NOUN	I-VAR
contains	contain	VERB	O
1	1	NUM	B-PARAM
unit	unit	NOUN	O
of	of	ADP	O
pepper	pepper	NOUN	O
and	and	CCONJ	O
4	4	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
salt	salt	NOUN	O
per	per	ADP	O
kg	kg	NOUN	O
.	.	PUNCT	O
If	if	SCONJ	O
it	it	PRON	O
toll	toll	VERB	B-OBJ_NAME
$	$	SYM	O
10.12	1.50	NUM	B-PARAM
per	per	ADP	O
kg	kg	NOUN	O
of	of	ADP	O
seasoning	season	VERB	B-VAR
B	b	NOUN	I-VAR
and	and	CCONJ	O
$	$	SYM	O
3	3	NUM	B-PARAM
per	per	ADP	O
kg	kg	NOUN	O
of	of	ADP	O
Seasoning	season	VERB	B-VAR
A	a	NOUN	I-VAR
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
kg	kg	NOUN	O
of	of	ADP	O
each	each	DET	O
should	should	AUX	O
the	the	DET	O
chef	chef	NOUN	O
buy	buy	VERB	O
to	to	PART	O
minimize	minimize	VERB	B-OBJ_DIR
her	her	PRON	O
toll	toll	NOUN	B-OBJ_NAME
?	?	PUNCT	O
.	.	PUNC	O

An	an	DET	O
artisan	artisan	ADJ	O
kitchen	kitchen	NOUN	O
company	company	NOUN	O
sells	sell	VERB	O
handmade	handmade	ADJ	O
wooden	wooden	ADJ	O
forks	fork	NOUN	B-VAR
and	and	CCONJ	O
plates	plate	NOUN	B-VAR
.	.	PUNCT	O
Each	each	DET	O
fork	fork	NOUN	B-VAR
takes	take	VERB	O
25	30	NUM	B-PARAM
minutes	minute	NOUN	O
of	of	ADP	O
woodworker	woodworker	NOUN	O
time	time	NOUN	O
and	and	CCONJ	O
each	each	DET	O
plate	plate	NOUN	B-VAR
takes	take	VERB	O
21	20	NUM	B-PARAM
minutes	minute	NOUN	O
of	of	ADP	O
woodworker	woodworker	NOUN	O
time	time	NOUN	O
.	.	PUNCT	O
The	the	DET	O
store	store	NOUN	O
has	have	VERB	O
5000	5000	NUM	B-LIMIT
minutes	minute	NOUN	O
of	of	ADP	O
woodworker	woodworker	NOUN	O
time	time	NOUN	O
available	available	ADJ	B-CONST_DIR
.	.	PUNCT	O
Since	since	SCONJ	O
plate	plate	NOUN	B-VAR
are	be	VERB	O
most	most	ADV	O
popular	popular	ADJ	O
,	,	PUNCT	O
the	the	DET	O
store	store	NOUN	O
must	must	AUX	O
make	make	VERB	O
at	at	ADP	B-CONST_DIR
least	least	ADV	I-CONST_DIR
twice	twice	DET	B-LIMIT
the	the	DET	O
number	number	NOUN	O
of	of	ADP	O
plates	plate	NOUN	B-VAR
as	as	ADP	O
forks	fork	NOUN	B-VAR
.	.	PUNCT	O
If	if	SCONJ	O
the	the	DET	O
earnings	earnings	NOUN	B-OBJ_NAME
per	per	ADP	O
forks	fork	NOUN	B-VAR
is	be	AUX	O
$	$	SYM	O
10	10	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
earnings	earnings	NOUN	B-OBJ_NAME
per	per	ADP	O
plate	plate	NOUN	B-VAR
is	be	VERB	O
$	$	SYM	O
8	8	NUM	B-PARAM
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
should	should	AUX	O
be	be	AUX	O
made	make	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
earnings	earnings	NOUN	B-OBJ_NAME
?	?	PUNCT	O
.	.	PUNC	O

A	a	DET	O
pizza	pizza	NOUN	O
shop	shop	NOUN	O
specializes	specialize	VERB	O
in	in	ADP	O
pizza	pizza	NOUN	O
and	and	CCONJ	O
they	they	PRON	O
make	make	VERB	O
two	two	NUM	O
types	type	NOUN	O
.	.	PUNCT	O
Pizza	Pizza	PROPN	B-VAR
B	B	PROPN	I-VAR
requires	require	VERB	O
4	4	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
mozzarella	mozzarella	NOUN	O
cheese	cheese	NOUN	O
and	and	CCONJ	O
4	5	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
American	american	ADJ	O
cheese	cheese	NOUN	O
.	.	PUNCT	O
pizza	pizza	NOUN	B-VAR
A	a	NOUN	I-VAR
requires	require	VERB	O
5	5	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
mozzarella	mozzarella	NOUN	O
cheese	cheese	NOUN	O
and	and	CCONJ	O
3	3	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
American	american	ADJ	O
cheese	cheese	NOUN	O
.	.	PUNCT	O
The	the	DET	O
shop	shop	NOUN	O
has	have	VERB	O
706	600	NUM	B-LIMIT
units	unit	NOUN	O
and	and	CCONJ	O
466	500	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
mozzarella	mozzarella	NOUN	O
and	and	CCONJ	O
American	american	ADJ	O
cheese	cheese	NOUN	O
available	available	ADJ	B-CONST_DIR
,	,	PUNCT	O
respectively	respectively	ADV	O
.	.	PUNCT	O
If	if	SCONJ	O
the	the	DET	O
net_profit	net_profit	NOUN	B-OBJ_NAME
per	per	ADP	O
Pizza	Pizza	PROPN	B-VAR
B	B	PROPN	I-VAR
is	be	AUX	O
$	$	SYM	O
3	3	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
net_profit	net_profit	NOUN	B-OBJ_NAME
per	per	ADP	O
pizza	pizza	NOUN	B-VAR
A	a	NOUN	I-VAR
is	be	VERB	O
$	$	SYM	O
4	4	NUM	B-PARAM
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
should	should	AUX	O
the	the	DET	O
shop	shop	NOUN	O
make	make	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
net_profit	net_profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O
.	.	PUNC	O

A	a	DET	O
salad	salad	NOUN	O
shop	shop	NOUN	O
sells	sell	VERB	O
two	two	NUM	O
salads	salad	NOUN	O
,	,	PUNCT	O
Mediterranean	Mediterranean	PROPN	B-VAR
salad	salad	VERB	I-VAR
and	and	CCONJ	O
Caesar	Caesar	PROPN	B-VAR
salad	salad	VERB	I-VAR
.	.	PUNCT	O
Each	each	DET	O
salad	salad	NOUN	O
uses	use	VERB	O
different	different	ADJ	O
amounts	amount	NOUN	O
of	of	ADP	O
lettuce	lettuce	NOUN	O
,	,	PUNCT	O
sauce	sauce	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
cheese	cheese	NOUN	O
.	.	PUNCT	O
Mediterranean	Mediterranean	PROPN	B-VAR
salad	salad	VERB	I-VAR
uses	use	VERB	O
118	100	NUM	B-PARAM
g	g	NUM	O
of	of	ADP	O
lettuce	lettuce	NOUN	O
,	,	PUNCT	O
10	10	NUM	B-PARAM
g	g	NOUN	O
of	of	ADP	O
sauce	sauce	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
5	5	NUM	B-PARAM
g	g	NOUN	O
of	of	ADP	O
cheese	cheese	NOUN	O
.	.	PUNCT	O
Caesar	Caesar	PROPN	B-VAR
salad	salad	VERB	I-VAR
uses	use	VERB	O
150	150	NUM	B-PARAM
g	g	NOUN	O
of	of	ADP	O
lettuce	lettuce	NOUN	O
,	,	PUNCT	O
15	15	NUM	B-PARAM
g	g	NOUN	O
of	of	ADP	O
sauce	sauce	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
15	15	NUM	B-PARAM
g	g	NOUN	O
of	of	ADP	O
cheese	cheese	NOUN	O
.	.	PUNCT	O
The	the	DET	O
store	store	NOUN	O
has	have	AUX	O
available	available	ADJ	B-CONST_DIR
21501	20000	NUM	B-LIMIT
g	g	NOUN	O
of	of	ADP	O
lettuce	lettuce	NOUN	O
,	,	PUNCT	O
1953	2000	NUM	B-LIMIT
g	g	NOUN	O
of	of	ADP	O
sauce	sauce	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
3000	3000	NUM	B-LIMIT
g	g	NOUN	O
of	of	ADP	O
cheese	cheese	NOUN	O
.	.	PUNCT	O
If	if	SCONJ	O
the	the	DET	O
lucre	lucre	NOUN	B-OBJ_NAME
per	per	ADP	O
Mediterranean	Mediterranean	PROPN	B-VAR
salad	salad	VERB	I-VAR
is	be	AUX	O
$	$	SYM	O
6	7	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
lucre	lucre	NOUN	B-OBJ_NAME
per	per	ADP	O
Caesar	Caesar	PROPN	B-VAR
salad	salad	VERB	I-VAR
is	be	VERB	O
$	$	SYM	O
9	9	NUM	B-PARAM
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
salad	salad	NOUN	O
should	should	AUX	O
be	be	AUX	O
made	make	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
lucre	lucre	NOUN	B-OBJ_NAME
?	?	PUNCT	O
.	.	PUNC	O

CaMilk	camilk	NOUN	O
has	have	VERB	O
77,000	25,000	NUM	B-LIMIT
grams	gram	NOUN	O
of	of	ADP	O
milk	milk	NOUN	O
available	available	ADJ	B-CONST_DIR
to	to	PART	O
make	make	VERB	O
milk	milk	NOUN	B-VAR
cake	cake	NOUN	I-VAR
and	and	CCONJ	O
muffins	muffin	NOUN	B-VAR
.	.	PUNCT	O
Consumer	consumer	NOUN	O
research	research	NOUN	O
determines	determine	VERB	O
that	that	SCONJ	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
twice	twice	DET	B-LIMIT
the	the	DET	O
amount	amount	NOUN	O
of	of	ADP	O
the	the	DET	O
muffin	muffin	NOUN	B-VAR
are	be	AUX	O
needed	need	VERB	O
than	than	SCONJ	O
the	the	DET	O
milk	milk	NOUN	B-VAR
cakes	cake	NOUN	I-VAR
and	and	CCONJ	O
there	there	PRON	O
need	need	VERB	O
to	to	PART	O
be	be	VERB	O
at	at	ADP	B-CONST_DIR
least	least	ADV	I-CONST_DIR
50	50	NUM	B-LIMIT
milk	milk	NOUN	B-VAR
cakes	cake	NOUN	I-VAR
made	make	VERB	O
.	.	PUNCT	O
Each	each	DET	O
milk	milk	NOUN	B-VAR
cakes	cake	NOUN	I-VAR
needs	need	VERB	O
14	15	NUM	B-PARAM
grams	gram	NOUN	O
of	of	ADP	O
milk	milk	NOUN	O
and	and	CCONJ	O
is	be	AUX	O
sold	sell	VERB	O
for	for	ADP	O
a	a	DET	O
gain	gain	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
6.5	6.5	NUM	B-PARAM
.	.	PUNCT	O
In	in	ADP	O
contrast	contrast	NOUN	O
,	,	PUNCT	O
a	a	DET	O
muffins	muffin	NOUN	B-VAR
needs	need	VERB	O
83	100	NUM	B-PARAM
grams	gram	NOUN	O
of	of	ADP	O
milk	milk	NOUN	O
each	each	DET	O
and	and	CCONJ	O
sells	sell	VERB	O
for	for	ADP	O
a	a	DET	O
gain	gain	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
90.14	8.5	NUM	B-PARAM
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
product	product	NOUN	O
should	should	AUX	O
CaMilk	CaMilk	PROPN	O
prepare	prepare	VERB	O
to	to	PART	O
obtain	obtain	VERB	O
the	the	DET	O
maximum	maximum	ADJ	B-OBJ_DIR
gain	gain	NOUN	B-OBJ_NAME
?	?	PUNCT	O
.	.	PUNC	O

A	a	DET	O
man	man	NOUN	O
wants	want	VERB	O
to	to	PART	O
do	do	VERB	O
his	his	PRON	O
weekly	weekly	ADJ	O
meal	meal	NOUN	O
prep	prep	NOUN	O
but	but	CCONJ	O
wants	want	VERB	O
to	to	PART	O
minimize	minimize	VERB	O
his	his	PRON	O
fat	fat	NOUN	B-OBJ_NAME
intake	intake	NOUN	I-OBJ_NAME
.	.	PUNCT	O
He	he	PRON	O
eats	eat	VERB	O
two	two	NUM	O
meals	meal	NOUN	O
.	.	PUNCT	O
Each	each	DET	O
meal	meal	NOUN	O
of	of	ADP	O
beef	beef	PROPN	B-VAR
tacos	tacos	PROPN	I-VAR
contains	contain	VERB	O
16	20	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
protein	protein	NOUN	O
,	,	PUNCT	O
20	20	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
carbs	carb	NOUN	O
,	,	PUNCT	O
15	15	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
fat	fat	NOUN	B-OBJ_NAME
,	,	PUNCT	O
and	and	CCONJ	O
10	10	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
fiber	fiber	NOUN	O
.	.	PUNCT	O
Each	each	DET	O
meal	meal	NOUN	O
of	of	ADP	O
chicken	chicken	NOUN	B-VAR
salad	salad	NOUN	I-VAR
contains	contain	VERB	O
25	25	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
protein	protein	NOUN	O
,	,	PUNCT	O
28	25	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
carbs	carb	NOUN	O
,	,	PUNCT	O
25	25	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
fat	fat	NOUN	B-OBJ_NAME
,	,	PUNCT	O
and	and	CCONJ	O
2	2	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
fiber	fiber	NOUN	O
.	.	PUNCT	O
The	the	DET	O
man	man	NOUN	O
needs	need	VERB	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
120	120	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
protein	protein	NOUN	O
and	and	CCONJ	O
163	150	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
carbs	carb	NOUN	O
.	.	PUNCT	O
However	however	ADV	O
he	he	PRON	O
wants	want	VERB	O
to	to	PART	O
consume	consume	VERB	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
25	25	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
fiber	fiber	NOUN	O
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
meals	meal	NOUN	O
of	of	ADP	O
each	each	DET	O
should	should	AUX	O
he	he	PRON	O
produce	produce	VERB	O
to	to	PART	O
minimize	minimize	VERB	B-OBJ_DIR
his	his	PRON	O
fat	fat	NOUN	B-OBJ_NAME
intake	intake	NOUN	I-OBJ_NAME
?	?	PUNCT	O
.	.	PUNC	O

Tom	Tom	PROPN	O
's	's	PART	O
Florist	Florist	PROPN	O
sells	sell	VERB	O
roses	rose	NOUN	B-VAR
and	and	CCONJ	O
sunflowers	sunflower	NOUN	B-VAR
every	every	DET	O
day	day	NOUN	O
.	.	PUNCT	O
The	the	DET	O
gain	gain	NOUN	B-OBJ_NAME
per	per	ADP	O
bouquet	bouquet	NOUN	O
of	of	ADP	O
roses	rose	NOUN	B-VAR
sold	sell	VERB	O
is	be	AUX	O
$	$	SYM	O
6	7	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
gain	gain	NOUN	B-OBJ_NAME
per	per	ADP	O
bouquet	bouquet	NOUN	O
of	of	ADP	O
sunflowers	sunflower	NOUN	B-VAR
sold	sell	VERB	O
is	be	VERB	O
$	$	SYM	O
12	12	NUM	B-PARAM
.	.	PUNCT	O
Each	each	DET	O
bouquet	bouquet	NOUN	O
of	of	ADP	O
roses	rose	NOUN	B-VAR
needs	need	VERB	O
3	4	NUM	B-PARAM
minutes	minute	NOUN	O
of	of	ADP	O
clipping	clip	VERB	O
and	and	CCONJ	O
3	3	NUM	B-PARAM
minutes	minute	NOUN	O
of	of	ADP	O
packaging	packaging	NOUN	O
.	.	PUNCT	O
Each	each	DET	O
bouquet	bouquet	NOUN	O
of	of	ADP	O
sunflowers	sunflower	NOUN	B-VAR
requires	require	VERB	O
5	5	NUM	B-PARAM
minutes	minute	NOUN	O
of	of	ADP	O
clipping	clip	VERB	O
and	and	CCONJ	O
7	7	NUM	B-PARAM
minutes	minute	NOUN	O
of	of	ADP	O
packaging	packaging	NOUN	O
.	.	PUNCT	O
In	in	ADP	O
total	total	NOUN	O
,	,	PUNCT	O
there	there	PRON	O
are	be	AUX	O
1229	1200	NUM	B-LIMIT
minutes	minute	NOUN	O
available	available	ADJ	B-CONST_DIR
for	for	ADP	O
clipping	clip	VERB	O
and	and	CCONJ	O
800	800	NUM	B-LIMIT
minutes	minute	NOUN	O
available	available	ADJ	B-CONST_DIR
for	for	ADP	O
packaging	packaging	NOUN	O
.	.	PUNCT	O
Having	having	AUX	O
signed	sign	VERB	O
a	a	DET	O
contract	contract	NOUN	O
with	with	ADP	O
a	a	DET	O
local	local	ADJ	O
restaurant	restaurant	NOUN	O
,	,	PUNCT	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
30	30	NUM	B-LIMIT
bouquets	bouquet	NOUN	O
of	of	ADP	O
roses	rose	NOUN	B-VAR
must	must	AUX	O
be	be	AUX	O
picked	pick	VERB	O
.	.	PUNCT	O
There	there	PRON	O
is	be	AUX	O
no	no	DET	O
such	such	ADJ	O
limit	limit	NOUN	O
on	on	ADP	O
bouquets	bouquet	NOUN	O
of	of	ADP	O
sunflowers	sunflower	NOUN	B-VAR
.	.	PUNCT	O
Formulate	formulate	VERB	O
an	an	DET	O
LP	LP	PROPN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
gain	gain	NOUN	B-OBJ_NAME
.	.	PUNCT	O
.	.	PUNC	O

A	a	DET	O
dessert	dessert	NOUN	O
factory	factory	NOUN	O
makes	make	VERB	O
pie	pie	NOUN	B-VAR
and	and	CCONJ	O
cake	cake	NOUN	B-VAR
.	.	PUNCT	O
Each	each	DET	O
pie	pie	NOUN	B-VAR
requires	require	VERB	O
4	4	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
sugar	sugar	NOUN	O
and	and	CCONJ	O
5	5	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
flour	flour	NOUN	O
.	.	PUNCT	O
Each	each	DET	O
cake	cake	NOUN	B-VAR
requires	require	VERB	O
5	5	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
sugar	sugar	NOUN	O
and	and	CCONJ	O
3	3	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
flour	flour	NOUN	O
.	.	PUNCT	O
The	the	DET	O
factory	factory	NOUN	O
has	have	VERB	O
1192	1000	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
sugar	sugar	NOUN	O
and	and	CCONJ	O
1200	1200	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
flour	flour	NOUN	O
agent	agent	NOUN	O
available	available	ADJ	B-CONST_DIR
.	.	PUNCT	O
If	if	SCONJ	O
the	the	DET	O
revenue	revenue	NOUN	B-OBJ_NAME
per	per	ADP	O
pie	pie	NOUN	B-VAR
made	make	VERB	O
is	be	AUX	O
$	$	SYM	O
4	4	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
revenue	revenue	NOUN	B-OBJ_NAME
per	per	ADP	O
cake	cake	NOUN	B-VAR
made	make	VERB	O
is	be	VERB	O
$	$	SYM	O
3	3	NUM	B-PARAM
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
should	should	AUX	O
be	be	AUX	O
made	make	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
revenue	revenue	NOUN	B-OBJ_NAME
?	?	PUNCT	O
.	.	PUNC	O

Lucas	Lucas	PROPN	O
has	have	AUX	O
acquired	acquire	VERB	B-CONST_DIR
134	150	NUM	B-LIMIT
acres	acre	NOUN	O
of	of	ADP	O
tropical	tropical	ADJ	O
land	land	NOUN	O
.	.	PUNCT	O
He	he	PRON	O
wants	want	VERB	O
to	to	PART	O
plant	plant	VERB	O
durian	durian	ADJ	B-VAR
trees	tree	NOUN	I-VAR
and	and	CCONJ	O
Mango	Mango	PROPN	B-VAR
trees	tree	NOUN	I-VAR
,	,	PUNCT	O
as	as	ADP	O
he	he	PRON	O
knows	know	VERB	O
he	he	PRON	O
can	can	AUX	O
sell	sell	VERB	O
all	all	DET	O
the	the	DET	O
mangos	mango	NOUN	B-VAR
and	and	CCONJ	O
Durian	durian	ADJ	B-VAR
trees	tree	NOUN	I-VAR
harvested	harvest	VERB	O
.	.	PUNCT	O
durian	durian	ADJ	B-VAR
trees	tree	NOUN	I-VAR
cost	cost	VERB	O
$	$	SYM	O
150	150	NUM	B-PARAM
per	per	ADP	O
acre	acre	NOUN	O
to	to	PART	O
maintain	maintain	VERB	O
,	,	PUNCT	O
yield	yield	VERB	O
a	a	DET	O
lose	lose	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
200	200	NUM	B-PARAM
per	per	ADP	O
acre	acre	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
require	require	VERB	O
7	6	NUM	B-PARAM
days	day	NOUN	O
worth	worth	ADJ	O
of	of	ADP	O
labor	labor	NOUN	O
per	per	ADP	O
acre	acre	NOUN	O
.	.	PUNCT	O
mango	mango	PROPN	B-VAR
trees	tree	NOUN	I-VAR
cost	cost	VERB	O
$	$	SYM	O
180	180	NUM	B-PARAM
per	per	ADP	O
acre	acre	NOUN	O
to	to	PART	O
maintain	maintain	VERB	O
,	,	PUNCT	O
yield	yield	VERB	O
a	a	DET	O
lose	lose	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
265	300	NUM	B-PARAM
per	per	ADP	O
acre	acre	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
require	require	VERB	O
2	3	NUM	B-PARAM
days	day	NOUN	O
worth	worth	ADJ	O
of	of	ADP	O
labor	labor	NOUN	O
per	per	ADP	O
acre	acre	NOUN	O
.	.	PUNCT	O
Lucas	Lucas	PROPN	O
has	have	VERB	O
a	a	DET	O
budget	budget	NOUN	B-CONST_DIR
of	of	ADP	O
$	$	SYM	O
23696	20000	NUM	B-LIMIT
and	and	CCONJ	O
700	700	NUM	B-LIMIT
days	day	NOUN	O
worth	worth	ADJ	O
of	of	ADP	O
labor	labor	NOUN	O
available	available	ADJ	B-CONST_DIR
(	(	PUNCT	O
among	among	ADP	O
all	all	DET	O
his	his	PRON	O
workers	worker	NOUN	O
)	)	PUNCT	O
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
acres	acre	NOUN	O
of	of	ADP	O
each	each	DET	O
tree	tree	NOUN	O
should	should	AUX	O
Lucas	Lucas	PROPN	O
plant	plant	NOUN	O
in	in	ADP	O
order	order	NOUN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
lose	lose	NOUN	B-OBJ_NAME
?	?	PUNCT	O
.	.	PUNC	O

A	a	DET	O
company	company	NOUN	O
is	be	AUX	O
looking	look	VERB	O
to	to	PART	O
purchase	purchase	VERB	O
ads	ad	NOUN	O
to	to	PART	O
place	place	VERB	O
in	in	ADP	O
three	three	NUM	O
video	video	NOUN	O
categories	category	NOUN	O
:	:	PUNCT	O
shopping	shopping	NOUN	B-VAR
videos	video	NOUN	I-VAR
,	,	PUNCT	O
DIY	DIY	PROPN	B-VAR
videos	video	NOUN	I-VAR
,	,	PUNCT	O
and	and	CCONJ	O
.	.	PUNCT	O
The	the	DET	O
cost	cost	NOUN	O
of	of	ADP	O
placing	place	VERB	O
an	an	DET	O
ad	ad	NOUN	O
in	in	ADP	O
each	each	DET	O
video	video	NOUN	O
and	and	CCONJ	O
the	the	DET	O
expected	expected	ADJ	O
viewership	viewership	NOUN	B-OBJ_NAME
is	be	AUX	O
given	give	VERB	O
as	as	ADP	O
follows	follow	VERB	O
.	.	PUNCT	O
Each	each	DET	O
ad	ad	NOUN	O
placed	place	VERB	O
in	in	ADP	O
a	a	DET	O
shopping	shopping	NOUN	B-VAR
videos	video	NOUN	I-VAR
costs	cost	VERB	O
$	$	SYM	O
5000	5000	NUM	B-PARAM
and	and	CCONJ	O
reaches	reach	VERB	O
8496	10000	NUM	B-PARAM
watcher	watcher	NOUN	B-OBJ_NAME
.	.	PUNCT	O
Each	each	DET	O
ad	ad	NOUN	O
placed	place	VERB	O
in	in	ADP	O
a	a	DET	O
DIY	DIY	PROPN	B-VAR
videos	video	NOUN	I-VAR
costs	cost	VERB	O
$	$	SYM	O
3200	3200	NUM	B-PARAM
and	and	CCONJ	O
